#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0023057	Negative regulation of signaling	6	1354	0.79	0.46	0.0316	9606.ENSP00000287820,9606.ENSP00000345502,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,PDE4D,CNR2,ESR1,MMP12,NR1H3
GO:0050776	Regulation of immune response	5	844	0.92	0.51	0.0326	9606.ENSP00000287820,9606.ENSP00000345502,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,PDE4D,ESR1,MMP12,NR1H3
GO:0032880	Regulation of protein localization	5	852	0.92	0.5	0.0334	9606.ENSP00000287820,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000477707	PPARG,F2,PPARD,ALOX5,NR1H3
GO:0014070	Response to organic cyclic compound	5	861	0.91	0.5	0.0347	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,PDE4D,ESR1,NR1H3
GO:0002682	Regulation of immune system process	6	1438	0.77	0.43	0.0392	9606.ENSP00000287820,9606.ENSP00000345502,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,PDE4D,CNR2,ESR1,MMP12,NR1H3
GO:0008217	Regulation of blood pressure	3	191	1.34	0.6	0.0442	9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000345502	PPARG,ADRA1B,PDE4D
GO:0051093	Negative regulation of developmental process	5	933	0.88	0.46	0.0452	9606.ENSP00000287820,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000477707	PPARG,F2,PPARD,ALOX5,NR1H3
GO:0009966	Regulation of signal transduction	8	2978	0.58	0.34	0.0460	9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,ADRA1B,F2,PPARD,PDE4D,ESR1,MMP12,NR1H3
GO:0071396	Cellular response to lipid	4	502	1.05	0.52	0.0460	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,ESR1,NR1H3
GO:0071407	Cellular response to organic cyclic compound	4	508	1.04	0.51	0.0463	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000405330	PPARG,PPARD,PDE4D,ESR1
GO:0009967	Positive regulation of signal transduction	6	1525	0.74	0.41	0.0474	9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,ADRA1B,F2,PPARD,MMP12,NR1H3
GO:0000122	Negative regulation of transcription by RNA polymerase II	5	971	0.86	0.45	0.0479	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,PPARD,ESR1,MMP12,NR1H3
GO:0006775	Fat-soluble vitamin metabolic process	2	40	1.85	0.65	0.0479	9606.ENSP00000289547,9606.ENSP00000310928	NPC1L1,PPARD
GO:0010243	Response to organonitrogen compound	5	963	0.86	0.45	0.0479	9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000345502,9606.ENSP00000363596,9606.ENSP00000458585	PPARG,MMP3,PDE4D,CNR2,MMP12
GO:0048518	Positive regulation of biological process	11	6207	0.4	0.27	0.0479	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,MMP3,ADRA1B,F2,PPARD,PDE4D,ALOX5,ESR1,MMP12,NR1H3
GO:0050999	Regulation of nitric-oxide synthase activity	2	40	1.85	0.65	0.0479	9606.ENSP00000363596,9606.ENSP00000405330	CNR2,ESR1
GO:0010817	Regulation of hormone levels	4	525	1.03	0.5	0.0481	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000405330	PPARG,PPARD,ALOX5,ESR1
GO:0030574	Collagen catabolic process	2	41	1.84	0.65	0.0481	9606.ENSP00000299855,9606.ENSP00000458585	MMP3,MMP12
