#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0042221	Response to chemical	11	4010	0.59	0.45	0.0031	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000289547,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,NPC1L1,MMP3,PPARD,PDE4D,ALOX5,CNR2,ESR1,MMP12,NR1H3
GO Process	GO:0010646	Regulation of cell communication	10	3355	0.62	0.46	0.0060	9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,ADRA1B,F2,PPARD,PDE4D,ALOX5,CNR2,ESR1,MMP12,NR1H3
GO Process	GO:0023051	Regulation of signaling	10	3367	0.62	0.46	0.0060	9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,ADRA1B,F2,PPARD,PDE4D,ALOX5,CNR2,ESR1,MMP12,NR1H3
GO Process	GO:0001996	Positive regulation of heart rate by epinephrine-norepinephrine	2	6	2.67	1.11	0.0068	9606.ENSP00000306662,9606.ENSP00000345502	ADRA1B,PDE4D
GO Process	GO:0070887	Cellular response to chemical stimulus	9	2609	0.69	0.49	0.0068	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000477707	FABP4,PPARG,MMP3,PPARD,PDE4D,ALOX5,CNR2,ESR1,NR1H3
GO Process	GO:0051707	Response to other organism	7	1328	0.87	0.61	0.0071	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000363596,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,F2,PPARD,CNR2,MMP12,NR1H3
GO Process	GO:0010033	Response to organic substance	9	2692	0.67	0.48	0.0078	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,MMP3,PPARD,PDE4D,CNR2,ESR1,MMP12,NR1H3
GO Process	GO:0001960	Negative regulation of cytokine-mediated signaling pathway	3	75	1.75	0.97	0.0086	9606.ENSP00000287820,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,MMP12,NR1H3
GO Process	GO:0015908	Fatty acid transport	3	75	1.75	0.97	0.0086	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000310928	FABP4,PPARG,PPARD
GO Process	GO:0045824	Negative regulation of innate immune response	3	74	1.76	0.97	0.0086	9606.ENSP00000287820,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,MMP12,NR1H3
GO Process	GO:0048878	Chemical homeostasis	6	904	0.97	0.65	0.0086	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000289547,9606.ENSP00000308541,9606.ENSP00000363512,9606.ENSP00000477707	FABP4,PPARG,NPC1L1,F2,ALOX5,NR1H3
GO Process	GO:0060336	Negative regulation of interferon-gamma-mediated signaling pathway	2	8	2.55	1.05	0.0086	9606.ENSP00000287820,9606.ENSP00000477707	PPARG,NR1H3
GO Process	GO:0050708	Regulation of protein secretion	4	250	1.35	0.84	0.0089	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000477707	PPARG,PPARD,ALOX5,NR1H3
GO Process	GO:0048523	Negative regulation of cellular process	11	4736	0.51	0.38	0.0094	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,MMP3,F2,PPARD,PDE4D,ALOX5,CNR2,ESR1,MMP12,NR1H3
GO Process	GO:0032966	Negative regulation of collagen biosynthetic process	2	10	2.45	1.0	0.0104	9606.ENSP00000287820,9606.ENSP00000310928	PPARG,PPARD
GO Process	GO:0048584	Positive regulation of response to stimulus	8	2131	0.72	0.49	0.0104	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,ADRA1B,F2,PPARD,PDE4D,MMP12,NR1H3
GO Process	GO:0051240	Positive regulation of multicellular organismal process	7	1505	0.82	0.55	0.0104	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000458585	FABP4,PPARG,ADRA1B,F2,PDE4D,ALOX5,MMP12
GO Process	GO:0042632	Cholesterol homeostasis	3	89	1.68	0.91	0.0106	9606.ENSP00000256104,9606.ENSP00000289547,9606.ENSP00000477707	FABP4,NPC1L1,NR1H3
GO Process	GO:0034440	Lipid oxidation	3	90	1.67	0.91	0.0107	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000363512	PPARG,PPARD,ALOX5
GO Process	GO:0009892	Negative regulation of metabolic process	9	2982	0.63	0.43	0.0115	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,MMP3,F2,PPARD,PDE4D,ESR1,MMP12,NR1H3
GO Process	GO:0010745	Negative regulation of macrophage derived foam cell differentiation	2	13	2.34	0.94	0.0134	9606.ENSP00000287820,9606.ENSP00000477707	PPARG,NR1H3
GO Process	GO:0031324	Negative regulation of cellular metabolic process	8	2265	0.7	0.47	0.0134	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,MMP3,PPARD,PDE4D,ESR1,MMP12,NR1H3
GO Process	GO:1901701	Cellular response to oxygen-containing compound	6	1057	0.9	0.58	0.0134	9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,MMP3,PPARD,PDE4D,ESR1,NR1H3
GO Process	GO:0009605	Response to external stimulus	8	2355	0.68	0.44	0.0169	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,F2,PPARD,ALOX5,CNR2,MMP12,NR1H3
GO Process	GO:0009617	Response to bacterium	5	663	1.03	0.62	0.0173	9606.ENSP00000256104,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000363596,9606.ENSP00000477707	FABP4,F2,PPARD,CNR2,NR1H3
GO Process	GO:0006869	Lipid transport	4	329	1.23	0.7	0.0174	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000289547,9606.ENSP00000310928	FABP4,PPARG,NPC1L1,PPARD
GO Process	GO:0046321	Positive regulation of fatty acid oxidation	2	16	2.25	0.88	0.0174	9606.ENSP00000287820,9606.ENSP00000310928	PPARG,PPARD
GO Process	GO:0050872	White fat cell differentiation	2	16	2.25	0.88	0.0174	9606.ENSP00000256104,9606.ENSP00000287820	FABP4,PPARG
GO Process	GO:0051172	Negative regulation of nitrogen compound metabolic process	8	2403	0.67	0.44	0.0174	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,F2,PPARD,PDE4D,ESR1,MMP12,NR1H3
GO Process	GO:0033189	Response to vitamin A	2	19	2.17	0.83	0.0216	9606.ENSP00000287820,9606.ENSP00000310928	PPARG,PPARD
GO Process	GO:0006629	Lipid metabolic process	6	1210	0.84	0.51	0.0227	9606.ENSP00000287820,9606.ENSP00000289547,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,NPC1L1,PPARD,ALOX5,ESR1,NR1H3
GO Process	GO:0050678	Regulation of epithelial cell proliferation	4	366	1.19	0.65	0.0227	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000458585	PPARG,PPARD,ALOX5,MMP12
GO Process	GO:0060965	Negative regulation of miRNA-mediated gene silencing	2	20	2.15	0.82	0.0227	9606.ENSP00000287820,9606.ENSP00000405330	PPARG,ESR1
GO Process	GO:1902894	Negative regulation of miRNA transcription	2	20	2.15	0.82	0.0227	9606.ENSP00000287820,9606.ENSP00000310928	PPARG,PPARD
GO Process	GO:0045598	Regulation of fat cell differentiation	3	135	1.5	0.73	0.0232	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000363512	PPARG,PPARD,ALOX5
GO Process	GO:0050680	Negative regulation of epithelial cell proliferation	3	139	1.48	0.73	0.0237	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000363512	PPARG,PPARD,ALOX5
GO Process	GO:0071880	Adenylate cyclase-activating adrenergic receptor signaling pathway	2	22	2.11	0.81	0.0239	9606.ENSP00000306662,9606.ENSP00000345502	ADRA1B,PDE4D
GO Process	GO:2000377	Regulation of reactive oxygen species metabolic process	3	143	1.47	0.72	0.0252	9606.ENSP00000299855,9606.ENSP00000308541,9606.ENSP00000363512	MMP3,F2,ALOX5
GO Process	GO:0007189	Adenylate cyclase-activating G protein-coupled receptor signaling pathway	3	145	1.46	0.71	0.0259	9606.ENSP00000306662,9606.ENSP00000345502,9606.ENSP00000363596	ADRA1B,PDE4D,CNR2
GO Process	GO:0008015	Blood circulation	4	403	1.15	0.61	0.0271	9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000310928,9606.ENSP00000345502	PPARG,ADRA1B,PPARD,PDE4D
GO Process	GO:0010875	Positive regulation of cholesterol efflux	2	26	2.03	0.76	0.0299	9606.ENSP00000287820,9606.ENSP00000477707	PPARG,NR1H3
GO Process	GO:0045892	Negative regulation of transcription, DNA-templated	6	1322	0.81	0.47	0.0299	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,PPARD,ESR1,MMP12,NR1H3
GO Process	GO:0010648	Negative regulation of cell communication	6	1348	0.8	0.46	0.0315	9606.ENSP00000287820,9606.ENSP00000345502,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,PDE4D,CNR2,ESR1,MMP12,NR1H3
GO Process	GO:0033993	Response to lipid	5	827	0.93	0.52	0.0315	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,CNR2,ESR1,NR1H3
GO Process	GO:0002683	Negative regulation of immune system process	4	433	1.11	0.58	0.0316	9606.ENSP00000287820,9606.ENSP00000363596,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,CNR2,MMP12,NR1H3
GO Process	GO:0010605	Negative regulation of macromolecule metabolic process	8	2760	0.61	0.38	0.0316	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,F2,PPARD,PDE4D,ESR1,MMP12,NR1H3
GO Process	GO:0023057	Negative regulation of signaling	6	1354	0.79	0.46	0.0316	9606.ENSP00000287820,9606.ENSP00000345502,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,PDE4D,CNR2,ESR1,MMP12,NR1H3
GO Process	GO:0050776	Regulation of immune response	5	844	0.92	0.51	0.0326	9606.ENSP00000287820,9606.ENSP00000345502,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,PDE4D,ESR1,MMP12,NR1H3
GO Process	GO:0032880	Regulation of protein localization	5	852	0.92	0.5	0.0334	9606.ENSP00000287820,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000477707	PPARG,F2,PPARD,ALOX5,NR1H3
GO Process	GO:0014070	Response to organic cyclic compound	5	861	0.91	0.5	0.0347	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,PDE4D,ESR1,NR1H3
GO Process	GO:0002682	Regulation of immune system process	6	1438	0.77	0.43	0.0392	9606.ENSP00000287820,9606.ENSP00000345502,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,PDE4D,CNR2,ESR1,MMP12,NR1H3
GO Process	GO:0008217	Regulation of blood pressure	3	191	1.34	0.6	0.0442	9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000345502	PPARG,ADRA1B,PDE4D
GO Process	GO:0051093	Negative regulation of developmental process	5	933	0.88	0.46	0.0452	9606.ENSP00000287820,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000477707	PPARG,F2,PPARD,ALOX5,NR1H3
GO Process	GO:0009966	Regulation of signal transduction	8	2978	0.58	0.34	0.0460	9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,ADRA1B,F2,PPARD,PDE4D,ESR1,MMP12,NR1H3
GO Process	GO:0071396	Cellular response to lipid	4	502	1.05	0.52	0.0460	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,ESR1,NR1H3
GO Process	GO:0071407	Cellular response to organic cyclic compound	4	508	1.04	0.51	0.0463	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000405330	PPARG,PPARD,PDE4D,ESR1
GO Process	GO:0009967	Positive regulation of signal transduction	6	1525	0.74	0.41	0.0474	9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,ADRA1B,F2,PPARD,MMP12,NR1H3
GO Process	GO:0000122	Negative regulation of transcription by RNA polymerase II	5	971	0.86	0.45	0.0479	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,PPARD,ESR1,MMP12,NR1H3
GO Process	GO:0006775	Fat-soluble vitamin metabolic process	2	40	1.85	0.65	0.0479	9606.ENSP00000289547,9606.ENSP00000310928	NPC1L1,PPARD
GO Process	GO:0010243	Response to organonitrogen compound	5	963	0.86	0.45	0.0479	9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000345502,9606.ENSP00000363596,9606.ENSP00000458585	PPARG,MMP3,PDE4D,CNR2,MMP12
GO Process	GO:0048518	Positive regulation of biological process	11	6207	0.4	0.27	0.0479	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,MMP3,ADRA1B,F2,PPARD,PDE4D,ALOX5,ESR1,MMP12,NR1H3
GO Process	GO:0050999	Regulation of nitric-oxide synthase activity	2	40	1.85	0.65	0.0479	9606.ENSP00000363596,9606.ENSP00000405330	CNR2,ESR1
GO Process	GO:0010817	Regulation of hormone levels	4	525	1.03	0.5	0.0481	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000405330	PPARG,PPARD,ALOX5,ESR1
GO Process	GO:0030574	Collagen catabolic process	2	41	1.84	0.65	0.0481	9606.ENSP00000299855,9606.ENSP00000458585	MMP3,MMP12
GO Function	GO:0004879	Nuclear receptor activity	4	53	2.03	1.66	0.00030	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,ESR1,NR1H3
GO Function	GO:0036041	Long-chain fatty acid binding	3	15	2.45	1.71	0.00038	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000310928	FABP4,PPARG,PPARD
GO Function	GO:0008289	Lipid binding	7	796	1.09	0.95	0.00060	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000289547,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	FABP4,PPARG,NPC1L1,F2,PPARD,ESR1,NR1H3
GO Function	GO:0046914	Transition metal ion binding	7	1104	0.95	0.7	0.0042	9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,MMP3,PPARD,ALOX5,ESR1,MMP12,NR1H3
GO Function	GO:0008270	Zinc ion binding	6	827	1.01	0.67	0.0088	9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,MMP3,PPARD,ESR1,MMP12,NR1H3
GO Function	GO:0038023	Signaling receptor activity	7	1489	0.82	0.52	0.0167	9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,ADRA1B,F2,PPARD,CNR2,ESR1,NR1H3
GO Function	GO:0005496	Steroid binding	3	101	1.62	0.77	0.0223	9606.ENSP00000289547,9606.ENSP00000405330,9606.ENSP00000477707	NPC1L1,ESR1,NR1H3
GO Function	GO:0001221	Transcription coregulator binding	3	114	1.57	0.71	0.0291	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330	PPARG,PPARD,ESR1
GO Function	GO:0004115	3,5-cyclic-AMP phosphodiesterase activity	2	19	2.17	0.73	0.0350	9606.ENSP00000345502,9606.ENSP00000410309	PDE4D,PDE1A
GO Function	GO:0046872	Metal ion binding	10	4250	0.52	0.33	0.0350	9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000405330,9606.ENSP00000410309,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,MMP3,F2,PPARD,PDE4D,ALOX5,ESR1,PDE1A,MMP12,NR1H3
STRING clusters	CL:9987	Regulation of lipid storage, and PPAR signaling pathway	5	47	2.18	2.79	9.43e-07	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000289547,9606.ENSP00000310928,9606.ENSP00000477707	FABP4,PPARG,NPC1L1,PPARD,NR1H3
STRING clusters	CL:9989	Regulation of cholesterol storage, and Cellular response to sterol depletion	4	23	2.39	2.61	4.22e-06	9606.ENSP00000287820,9606.ENSP00000289547,9606.ENSP00000310928,9606.ENSP00000477707	PPARG,NPC1L1,PPARD,NR1H3
STRING clusters	CL:10013	Negative regulation of cholesterol storage, and Retinoid X receptor/HNF4	3	11	2.58	2.12	5.91e-05	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000477707	PPARG,PPARD,NR1H3
STRING clusters	CL:10015	NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake, and Cellular response to vitamin E	2	6	2.67	1.11	0.0067	9606.ENSP00000287820,9606.ENSP00000477707	PPARG,NR1H3
STRING clusters	CL:19767	Matrix metalloproteinases, and CD44 antigen-like	2	17	2.22	0.73	0.0364	9606.ENSP00000299855,9606.ENSP00000458585	MMP3,MMP12
KEGG	hsa03320	PPAR signaling pathway	4	75	1.88	1.84	7.79e-05	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000477707	FABP4,PPARG,PPARD,NR1H3
